Ano;Mês;Indicador;Descrição;Município;UF;Prestadora;Resultado;Número de Coletores;Número de Medidas;Limite Inferior;Limite Superior;data
2022;3;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;aracaju;se;claro;93,08;253;910;90,6541;95,4996;2022-03-28
2022;11;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;tim;92,41;14122;48747;92,0744;92,7364;2022-11-28
2022;3;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;vivo;95,70;1626;7354;94,8507;96,5552;2022-03-28
2022;4;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;claro;94,16;1013;4130;93,0273;95,3019;2022-04-28
2022;10;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;tim;92,12;15426;53955;91,8097;92,4390;2022-10-28
2022;9;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;tim;92,21;19710;70247;91,9374;92,4889;2022-09-28
2022;5;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;tim;92,21;17247;57949;91,9033;92,5105;2022-05-28
2022;7;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;claro;93,64;8952;32864;93,2342;94,0405;2022-07-28
2022;5;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;vivo;95,81;2875;17082;95,2551;96,3735;2022-05-28
2022;4;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;vivo;95,91;2694;16075;95,3364;96,4893;2022-04-28
2022;7;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;aracaju;se;claro;95,66;3925;14274;95,0517;96,2751;2022-07-28
2022;3;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;rio branco;ac;vivo;91,00;2110;7123;90,1350;91,8669;2022-03-28
